start,duration,value
2022-10-11T17:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[-7,-3,-1,-5,-6,-6,-6,-7,-4,-5,0,13,8,5,13,4,-5,-8,-6,-6,-7,-8,-7,-7,-5,0,-1,-1,-5,3,22,15,-1,13,26,29,8,-5,-8,-2,7,2,4,4,19,14,-8,-7,9,43,22,0,-5,22,20,1,-5,-7,-7,-1,1,-5,-8,-5,1,-4,-7,-7,-6,-7,-7,-7,-1,61,65,2,10,10,19,56,17,-2,6,3,-4,-7,-7,-6,-7,-1,23,10,-5,2,3,0,-4,-7,-8,-8,-8,-8,-8,-8,-7,-5,-6,-8,-7,-8,-8,-8,-8,-8,-2,0,-6,-7,-8,-8,-8,-8,-6,-1,1,-3,-8,-8,-8,4,17,1,-5,-3,0,-7,-4,-3,-7,-8,-6,-6,-8,-3,9,0,4,-1,-1,0,-7,-8,-8,-5,-3,-6,-6,-4,-7,-8,-8,5,28,48,41,13,0,-2,1,12,40,33,3,2,12,0,-5,-7,0,12]"
2022-10-11T20:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[3,-6,-6,1,11,16,36,27,11,10,10,34,19,22,26,2,1,4,0,3,-5,6,19,31,37,6,-3,0,1,11,7,-1,13,22,31,38,7,-7,5,0,-8,-2,1,18,35,15,5,9,-3,11,20,21,45,38,28,28,29,21,5,18,45,45,27,26,33,33,24,40,37,22,25]"
2022-10-11T22:07:01+02:00,"[59,60,60,60,60,60,60,60,60,60]","[28,54,82,81,58,53,62,47,58,69]"
2022-10-11T22:17:01+02:00,[43835],[69]
2022-05-31T16:11:00+02:00,"[60,60,60,60,60,60,60,60,2460,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1860,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1320]","[16,29,3,-5,16,14,4,6,-4,8,27,40,19,2,4,-2,-4,-7,-5,-4,-7,2,0,-5,-7,-6,-6,-6,10,41,20,17,9,2,-4,-7,-7,-7,-8,-7,-4,6,0,1,1,29,29,49,59,52,17,14,29,8,0,8,17,28,29,21,12,43,48,4,-6,-6,4,10,-3,-5,0,16]"
2022-05-31T18:54:00+02:00,"[1320,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1320,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[16,15,20,14,4,3,12,21,14,22,5,-7,-7,-5,-4,4,10,32,29,26,5,3,13,17,0,18,21,10,-2,1,19,51,45,24,5,15,20,11,0,23,30,3,-5,-7,-3,11,10,19,9,15,6,1,0,-7,4,40,44,7,-7,-8,-8,-8,1,11,2,20,48,35,31,24,6,4,6,14,3,7,26,31,26,7,14,30,18,4,24,19,35,28,15,8,1,1,25,32,9,8,35,31,3,4,1,5,-3,-5,5,29,37,14,4,3,5,2,2,1,9,28,26,0,-7,-8,-7,-6,-8,-8,9,21,5,-7,-6,10,2,1,15,20,21,31,41,15]"
2022-05-31T21:54:00+02:00,"[60,60,60,60,60,60,60,60]","[31,41,24,11,9,15,22,16]"
2022-05-31T22:02:01+02:00,"[59,60,60,60,60]","[72,54,29,21,25]"
2022-05-31T22:07:01+02:00,"[59,60,60,60,60,60,1320,60,60,60,60,60]","[42,39,21,15,47,68,68,22,0,12,36,40]"
2022-05-24T10:31:02+02:00,[35374],[0]
