date,value
2026-03-05,1132.1
2026-03-04,1615.1
2026-03-03,1615.1
2026-03-02,1613.56
2026-03-01,1621.35
2026-02-28,1621.35
2026-02-27,1621.35
2026-02-26,1621.35
2026-02-25,1622.22
2026-02-24,1618.9
2026-02-23,1617.86
2026-02-22,1617.86
2026-02-21,1617.86
2026-02-20,1616.16
2026-02-19,1613.56
2026-02-18,1608.26
2026-02-17,1628.62
2026-02-16,1628.62
2026-02-15,1628.62
2026-02-14,1612.18
2026-02-13,1612.18
2026-02-12,1612.18
2026-02-11,1612.18
2026-02-10,1612.18
2026-02-09,1612.18
2026-02-08,1612.18
2026-02-07,1621.77
2026-02-06,1621.77
2026-02-05,1621.77
2026-02-04,1619.38
2026-02-03,1619.38
2026-02-02,1619.72
2026-02-01,1619.72
2026-01-31,1619.72
2026-01-30,1618.62
2026-01-29,1617.66
2026-01-28,1619.92
2026-01-27,1619.92
2026-01-26,1619.92
2026-01-25,1619.92
2026-01-24,1619.92
2026-01-23,1619.92
2026-01-22,1619.66
2026-01-21,1619.61
2026-01-20,1552.13
2026-01-19,1619.61
2026-01-18,1619.61
2026-01-17,1608.39
2026-01-16,1619.61
2026-01-15,1619.88
2026-01-14,1425.12
2026-01-13,1619.88
2026-01-12,1619.88
2026-01-11,1429.13
2026-01-10,1613.14
2026-01-09,1618.24
2026-01-08,1618.24
2026-01-07,1618.24
2026-01-06,1618.24
2026-01-05,1515.25
2026-01-04,1619.87
2026-01-03,1619.87
2026-01-02,1615.65
2026-01-01,1615.65
2025-12-31,1615.65
2025-12-30,1615.65
2025-12-29,1615.65
2025-12-28,1615.65
2025-12-27,1615.65
2025-12-26,1615.65
2025-12-25,1601.06
2025-12-24,1601.06
2025-12-23,1601.06
2025-12-22,1608.63
2025-12-21,1614.82
2025-12-20,1181.93
2025-12-19,1614.82
2025-12-18,1614.82
2025-12-17,1614.82
2025-12-16,1614.82
2025-12-15,1618.4
2025-12-14,1618.4
2025-12-13,1618.4
2025-12-12,1618.4
2025-12-11,1618.4
2025-12-10,1610.43
2025-12-09,1610.43
2025-12-08,1531.06
2025-12-07,1617.49
2025-12-06,1506.36
2025-12-05,1617.49
2025-12-04,1617.49
2025-12-03,1633.19
2025-12-02,1633.19
2025-12-01,1625.65
2025-11-30,1625.65
2025-11-29,1625.65
2025-11-28,1625.65
2025-11-27,1625.65
2025-11-26,1625.65
2025-11-25,1625.65
2025-11-24,1625.65
2025-11-23,1625.65
2025-11-22,1625.65
2025-11-21,1625.65
2025-11-20,1623.81
2025-11-19,1623.81
2025-11-18,1623.81
2025-11-17,1627.79
2025-11-16,1630.23
2025-11-15,1631.98
2025-11-14,1693.01
2025-11-13,1625.29
2025-11-12,1625.29
2025-11-11,1625.29
2025-11-10,1557.57
2025-11-09,1625.29
2025-11-08,1625.29
2025-11-07,1625.29
2025-11-06,1625.29
2025-11-05,1622.45
2025-11-04,1622.45
2025-11-03,1606.11
2025-11-02,1620.23
2025-11-01,1620.23
2025-10-31,1623.59
2025-10-30,1623.59
2025-10-29,1626.68
2025-10-28,1626.23
2025-10-27,1626.23
2025-10-26,1437.31
2025-10-25,1626.23
2025-10-24,1701.68
2025-10-23,1633.61
2025-10-22,1633.61
2025-10-21,1633.61
2025-10-20,1633.61
2025-10-19,1633.61
2025-10-18,1633.61
2025-10-17,1633.61
2025-10-16,1633.61
2025-10-15,1633.61
2025-10-14,1633.61
2025-10-13,1633.61
2025-10-12,1629.29
2025-10-11,1618.62
2025-10-10,1618.62
2025-10-09,1618.62
2025-10-08,1618.62
2025-10-07,1611.94
2025-10-06,1644.8
2025-10-05,1644.8
2025-10-04,1644.8
2025-10-03,1619
2025-10-02,1629.21
2025-10-01,1628.71
2025-09-30,1628.71
2025-09-29,1626.2
2025-09-28,1625.83
2025-09-27,1625.83
2025-09-26,1625.83
2025-09-25,1634.13
2025-09-24,1634.13
2025-09-23,1628.52
2025-09-22,1624.7
2025-09-21,1624.7
2025-09-20,1635.39
2025-09-19,1635.39
2025-09-18,1633.74
2025-09-17,1591.06
2025-09-16,1624.48
2025-09-15,1624.48
2025-09-14,1624.48
2025-09-13,1624.48
2025-09-12,1624.48
2025-09-11,1624.48
2025-09-10,1637.31
2025-09-09,1637.31
2025-09-08,1628.38
2025-09-07,1628.38
2025-09-06,1628.38
2025-09-05,1628.38
2025-09-04,1562.54
2025-09-03,1626.84
2025-09-02,1626.84
2025-09-01,1538.68
2025-08-31,1620.81
2025-08-30,1622.99
2025-08-29,1622.99
2025-08-28,1608.38
2025-08-27,1628.81
2025-08-26,1624.53
2025-08-25,1624.53
2025-08-24,1630
2025-08-23,1626.18
2025-08-22,1620.09
2025-08-21,1615.44
2025-08-20,1615.44
2025-08-19,1604.48
2025-08-18,1604.48
2025-08-17,1604.48
2025-08-16,1604.48
2025-08-15,1604.48
2025-08-14,1604.48
2025-08-13,1613.95
2025-08-12,1613.95
2025-08-11,1613.95
2025-08-10,1613.95
2025-08-09,1613.95
2025-08-08,1619.32
2025-08-07,1619.32
2025-08-06,1615.22
2025-08-05,1615.22
2025-08-04,1615.23
2025-08-03,1481.34
2025-08-02,1615.23
2025-08-01,1615.23
2025-07-31,1615.23
2025-07-30,1615.23
2025-07-29,1615.84
2025-07-28,1615.84
2025-07-27,1615.84
2025-07-26,1620.68
2025-07-25,1620.68
2025-07-24,1618.67
2025-07-23,1618.67
2025-07-22,1618.67
2025-07-21,1625.42
2025-07-20,1618.11
2025-07-19,1618.11
2025-07-18,1618.11
2025-07-17,1618.11
2025-07-16,1618.11
2025-07-15,1618.11
2025-07-14,1624.81
2025-07-13,1624.81
2025-07-12,1624.81
2025-07-11,1616.87
2025-07-10,1621.08
2025-07-09,1625.89
2025-07-08,1625.89
2025-07-07,1618.75
2025-07-06,1618.75
2025-07-05,1618.75
2025-07-04,1618.75
2025-07-03,1618.75
2025-07-02,1626.97
2025-07-01,1627.36
2025-06-30,1627.36
2025-06-29,1618.42
2025-06-28,1620.02
2025-06-27,1625.25
2025-06-26,1571.07
2025-06-25,1621.66
