date,value
"2023-01-10 12:07:14",0
"2023-01-10 12:07:08",0
"2022-12-22 19:44:12",100
"2022-11-29 14:26:17",100
"2022-11-04 20:06:19",100
"2022-11-04 20:05:58",100
"2022-11-03 22:49:50",99
"2022-09-05 16:44:41",98
"2022-07-19 07:25:53",98
"2022-05-31 20:05:47",99
"2022-05-31 18:46:52",100
"2022-05-31 18:46:31",100
"2022-05-31 18:46:05",100
"2022-05-31 18:45:39",100
