mac,serial,latitude,longitude,battery_level,last_used_date,manual_geoloc,timezone,association_date
00:24:e4:e6:fc:4c,SN-00:24:e4:e6:fc:4c,-27.4705,153.026,29,1772693531,,Australia/Brisbane,2022-05-31T10:30:42+02:00
00:24:e4:f5:6a:ca,SN-00:24:e4:f5:6a:ca,-27.46859,153.024,13,1772661781,1,Australia/Brisbane,2023-03-28T09:54:21+02:00
